USStreet|USCity|USState|USStateID|Date
E Fowler Avenue|Jefferson City|Connecticut|OK|16-09-2007
Padre Boulevard|Salem|Ohio|MT|23-04-2008
Hutchinson Rd|Charleston|Colorado|NV|25-08-2007
Castillo Drive|Des Moines|Nevada|IN|01-11-2008
Harry S Truman Blvd|Trenton|Nebraska|MN|19-01-2008
San Luis Obispo North|Phoenix|West Virginia|ID|05-07-2007
E Fowler Avenue|Salem|Pennsylvania|OR|10-08-2008
South Roosevelt Drive|Indianapolis|Kansas|DE|20-07-2008
San Marcos|Honolulu|Indiana|CA|16-11-2008
Via Real|Helena|Alaska|NV|09-04-2007
Milpas Street|Austin|Massachusetts|WA|30-11-2008
Carpinteria North|Nashville|Pennsylvania|AZ|11-01-2008
W. Russell St.|Columbus|California|VT|31-10-2007
Monroe Street|Charleston|Pennsylvania|NC|15-09-2008
Camelback Rd|Boston|Iowa|NV|02-11-2007
French Camp Turnpike Roa|d               Helena|Nebraska|WV|19-04-2008
S Rustle St|Honolulu|Iowa|NC|23-08-2007
Corona Del Mar|Charleston|Arizona|CT|23-03-2008
Westside Freeway|Springfield|Washington|MO|31-10-2007
Fairview Avenue|Richmond|Alabama|WA|31-07-2007
San Diego Freeway|Springfield|Montana|IL|10-09-2008
Tully Road East|Dover|Oklahoma|MA|23-02-2008
Fontaine Road|Helena|New Jersey|NY|16-08-2007
E Fowler Avenue|Trenton|New York|KY|20-02-2007
N Harrison St|Austin|Utah|AZ|22-12-2007
Richmond Hill|Topeka|New Hampshire|WA|13-04-2007
Padre Boulevard|Atlanta|Alaska|CT|14-09-2007
Carpinteria Avenue|Sacramento|Maryland|KY|09-05-2008
Cerrillos Road|Frankfort|Pennsylvania|IL|08-03-2008
Carpinteria South|Columbus|Connecticut|RI|16-09-2007
Santa Monica Road|Charleston|Connecticut|CO|09-01-2007
South Highway|Raleigh|Nevada|IL|21-02-2007
El Camino Real|Topeka|Alabama|MA|16-11-2007
North Erringer Road|Augusta|Illinois|FL|24-08-2007
San Luis Obispo North|Baton Rouge|North Carolina|FL|22-12-2008
Lake Tahoe Blvd.|Atlanta|South Dakota|OH|14-03-2007
Newbury Road|Honolulu|Indiana|NE|05-07-2007
Santa Monica Road|Boise|Louisiana|KY|01-08-2007
Carpinteria North|Boston|Kansas|NE|19-05-2008
East Calle Primera|Carson City|Tennessee|ME|10-07-2007
W. Russell St.|Augusta|New York|CT|26-01-2008
North Erringer Road|Austin|Connecticut|TX|13-02-2008
Cabrillo Highway|Boise|Arkansas|CA|13-03-2007
S Rustle St|Baton Rouge|Delaware|TX|09-07-2008
Castillo Drive|Dover|South Dakota|SD|17-08-2007
Fairview Avenue|Jackson|Missouri|AK|28-11-2008
Santa Rosa North|Providence|Oregon|UT|24-11-2008
Camelback Rd|Salem|Washington|MN|27-08-2008
San Simeon|Hartford|Louisiana|KY|21-05-2007
Carpinteria South|Helena|Iowa|FL|07-12-2008
Pacific Hwy S|Saint Paul|Minnesota|AR|08-02-2008
Padre Boulevard|Columbus|California|OR|06-02-2008
North Erringer Road|Albany|New Jersey|HI|14-05-2008
East Calle Primera|Indianapolis|Pennsylvania|MT|20-12-2008
North Ventu Park Road|Madison|Arkansas|UT|17-10-2008
San Ysidro Blvd|Salt Lake City|Florida|MT|30-01-2007
W. Russell St.|Carson City|Pennsylvania|NH|21-07-2008
Calle Real|Montgomery|Nebraska|IN|09-07-2007
N Harrison St|Nashville|Florida|CO|11-11-2007
Jones Road|Hartford|Minnesota|CT|06-10-2008
Santa Rosa South|Saint Paul|New York|MN|19-06-2008
Erringer Road|Albany|Kansas|CT|10-10-2007
Calle Real|Charleston|Missouri|NV|03-02-2008
Via Real|Richmond|South Dakota|UT|25-05-2007
Harry S Truman Blvd|Richmond|Virginia|MO|21-08-2008
Lindbergh Blvd|Hartford|Arizona|ID|18-03-2007
Katella Avenue|Madison|Mississippi|NH|31-07-2008
Castillo Drive|Lansing|Oklahoma|DE|12-02-2008
San Simeon|Richmond|Montana|LA|23-01-2007
French Camp Turnpike Roa|d               Columbia|Iowa|WV|15-04-2007
San Ysidro Blvd|Columbus|New Hampshire|AK|12-09-2008
Jean de la Fontaine|Juneau|Missouri|WA|23-06-2007
Carpinteria North|Olympia|Ohio|PA|04-11-2008
Santa Ana Freeway|Jackson|Washington|UT|16-06-2008
Cerrillos Road|Des Moines|Texas|VT|15-03-2008
San Simeon|Richmond|Massachusetts|IA|10-12-2008
W. Russell St.|Harrisburg|Oklahoma|KY|12-08-2007
Timberlane Drive|Trenton|Wisconsin|SD|15-02-2007
Katella Avenue|Concord|Kansas|DE|02-11-2008
Monroe Street|Charleston|Michigan|KY|23-11-2007
Cleveland Ave.|Des Moines|South Carolina|AZ|23-11-2008
