USStreet,USCity,USState,USStateID,Date
E Fowler Avenue,Annapolis,Alabama,NY,22-01-2008
San Ysidro Blvd,Frankfort,Alabama,ND,23-06-2008
Timberlane Drive,Montpelier,Alabama,MD,10-09-2008
Carpinteria South,Phoenix,Alabama,MA,18-09-2007
Steele Lane,Pierre,Alabama,VA,12-07-2008
South Highway,Richmond,Alabama,MO,20-05-2007
Carpinteria North,Sacramento,Alabama,MA,06-02-2008
E Fowler Avenue,Austin,Alaska,CT,14-11-2008
East Fry Blvd.,Baton Rouge,Alaska,MO,02-08-2007
W. Russell St.,Boston,Alaska,TX,11-12-2008
Cerrillos Road,Columbia,Alaska,GA,09-03-2007
Westside Freeway,Denver,Alaska,WI,22-06-2007
East 1st Street,Harrisburg,Alaska,ME,06-12-2008
Cabrillo Highway,Helena,Alaska,ME,29-04-2008
Westside Freeway,Juneau,Alaska,NM,08-05-2007
North Erringer Road,Little Rock,Alaska,FL,05-04-2007
Carpinteria South,Little Rock,Alaska,IL,27-02-2007
Tanger Blvd,Montgomery,Alaska,PA,25-11-2007
Pacific Hwy S,Olympia,Alaska,OR,16-02-2008
East Calle Primera,Olympia,Alaska,MN,03-02-2008
Santa Monica Road,Phoenix,Alaska,AR,05-02-2007
Fontaine Road,Sacramento,Alaska,CO,22-02-2007
North Erringer Road,Saint Paul,Alaska,WA,26-12-2007
South Highway,Topeka,Alaska,VT,21-01-2008
Santa Rosa North,Atlanta,Arizona,TN,09-01-2007
Camelback Rd,Augusta,Arizona,CO,08-11-2007
Steele Lane,Austin,Arizona,DE,05-04-2008
Milpas Street,Baton Rouge,Arizona,WY,07-04-2007
Via Real,Bismarck,Arizona,CT,23-07-2008
Santa Monica Road,Boise,Arizona,IN,15-11-2007
Grandview Drive,Carson City,Arizona,DE,04-01-2008
Moreno Drive,Concord,Arizona,VA,14-01-2008
W. Russell St.,Concord,Arizona,SC,30-03-2008
Jones Road,Concord,Arizona,MS,23-07-2008
Santa Ana Freeway,Denver,Arizona,PA,20-07-2008
San Marcos,Denver,Arizona,NM,14-12-2007
Newbury Road,Frankfort,Arizona,FL,31-03-2007
W. Russell St.,Hartford,Arizona,IL,25-10-2007
Monroe Street,Jefferson City,Arizona,KS,22-06-2007
Hutchinson Rd,Juneau,Arizona,MI,28-12-2008
East Main Street,Lansing,Arizona,NM,03-11-2007
Tully Road East,Lincoln,Arizona,MI,24-03-2007
East Calle Primera,Montpelier,Arizona,WV,22-05-2007
North Atherton Street,Olympia,Arizona,NV,15-03-2007
San Ysidro Blvd,Sacramento,Arizona,MD,07-10-2008
Santa Monica Road,Saint Paul,Arizona,GA,17-12-2008
Lake Tahoe Blvd.,Salt Lake City,Arizona,WI,20-12-2007
Santa Rosa South,Topeka,Arizona,NH,12-08-2007
Newbury Road,Annapolis,Arkansas,NE,02-09-2008
Lake Tahoe Blvd.,Atlanta,Arkansas,NH,15-01-2008
Richmond Hill,Atlanta,Arkansas,VT,17-05-2008
Bayshore Freeway,Bismarck,Arkansas,LA,29-03-2008
East 1st Street,Bismarck,Arkansas,OK,07-05-2008
San Luis Obispo North,Boston,Arkansas,TN,07-03-2008
Cabrillo Highway,Charleston,Arkansas,RI,21-07-2007
Bayshore Freeway,Columbia,Arkansas,CA,11-07-2008
South Roosevelt Drive,Des Moines,Arkansas,CO,28-11-2008
Burnett Road,Dover,Arkansas,AR,31-07-2007
North Ventu Park Road,Helena,Arkansas,MA,19-11-2007
Westside Freeway,Juneau,Arkansas,NV,02-11-2007
Tully Road East,Madison,Arkansas,IL,10-03-2008
Bayshore Freeway,Nashville,Arkansas,ME,27-03-2008
San Diego Freeway,Olympia,Arkansas,OH,10-02-2007
French Camp Turnpike Road,Pierre,Arkansas,IL,17-11-2008
N Harrison St,Pierre,Arkansas,VA,24-01-2008
